target	context	f_tc	f_t	f_c	pmi
avion	possibilité	1.00	1930.00	5.00	0.255726
avion	élever	2.00	1930.00	11.00	0.160416
avion	découvrir	1.00	1930.00	9.00	-0.332061
avion	résumer	1.00	1930.00	2.00	1.172017
avion	aujourd'	1.00	1930.00	12.00	-0.619743
avion	jambe	1.00	1930.00	2.00	1.172017
avion	idée	2.00	1930.00	13.00	-0.006638
avion	aimer	3.00	1930.00	11.00	0.565881
avion	entraîner	2.00	1930.00	3.00	1.459699
avion	peur	3.00	1930.00	7.00	1.017866
avion	fumée	1.00	1930.00	1.00	1.865164
avion	avis	1.00	1930.00	1.00	1.865164
avion	designer	1.00	1930.00	1.00	1.865164
avion	meilleur	2.00	1930.00	9.00	0.361087
avion	trouver	3.00	1930.00	41.00	-0.749796
avion	arme	1.00	1930.00	1.00	1.865164
avion	confiner	1.00	1930.00	1.00	1.865164
avion	descendre	1.00	1930.00	6.00	0.073405
avion	emmener	5.00	1930.00	11.00	1.076707
avion	arriver	5.00	1930.00	21.00	0.430079
avion	suivre	1.00	1930.00	7.00	-0.080746
avion	éjectable	1.00	1930.00	1.00	1.865164
avion	peinture	1.00	1930.00	1.00	1.865164
avion	adresser	1.00	1930.00	5.00	0.255726
avion	carbone	1.00	1930.00	4.00	0.478870
avion	polymère	1.00	1930.00	1.00	1.865164
avion	opération	1.00	1930.00	2.00	1.172017
avion	journal	1.00	1930.00	3.00	0.766552
avion	réunion	1.00	1930.00	1.00	1.865164
avion	déchirer	1.00	1930.00	3.00	0.766552
avion	essentiel	1.00	1930.00	1.00	1.865164
avion	quantité	2.00	1930.00	2.00	1.865164
avion	papier	5.00	1930.00	8.00	1.395160
avion	planète	1.00	1930.00	1.00	1.865164
avion	armé	1.00	1930.00	1.00	1.865164
avion	voisin	1.00	1930.00	5.00	0.255726
avion	crash	1.00	1930.00	1.00	1.865164
avion	canoë	1.00	1930.00	1.00	1.865164
avion	bric-à-brac	1.00	1930.00	1.00	1.865164
avion	principe	1.00	1930.00	3.00	0.766552
avion	réacteur	1.00	1930.00	1.00	1.865164
avion	émettre	5.00	1930.00	8.00	1.395160
avion	musulman	2.00	1930.00	33.00	-0.938196
avion	associé	1.00	1930.00	1.00	1.865164
avion	minute	4.00	1930.00	8.00	1.172017
avion	tomber	2.00	1930.00	7.00	0.612401
avion	payer	1.00	1930.00	14.00	-0.773893
avion	père	1.00	1930.00	6.00	0.073405
avion	dessus	2.00	1930.00	2.00	1.865164
avion	victime	1.00	1930.00	1.00	1.865164
avion	produit	2.00	1930.00	4.00	1.172017
avion	largueur	1.00	1930.00	1.00	1.865164
avion	bruit	1.00	1930.00	10.00	-0.437421
avion	décider	4.00	1930.00	8.00	1.172017
avion	exemple	2.00	1930.00	24.00	-0.619743
avion	suffire	1.00	1930.00	2.00	1.172017
avion	habiter	1.00	1930.00	4.00	0.478870
avion	mile	1.00	1930.00	4.00	0.478870
avion	minimiser	1.00	1930.00	1.00	1.865164
avion	accélérer	2.00	1930.00	4.00	1.172017
avion	hublot	3.00	1930.00	3.00	1.865164
avion	rival	1.00	1930.00	2.00	1.172017
avion	humanitaire	1.00	1930.00	1.00	1.865164
avion	initier	1.00	1930.00	1.00	1.865164
avion	modeler	1.00	1930.00	1.00	1.865164
avion	percuter	1.00	1930.00	2.00	1.172017
avion	prélèvement	1.00	1930.00	1.00	1.865164
avion	retrouver	1.00	1930.00	5.00	0.255726
avion	connaître	2.00	1930.00	11.00	0.160416
avion	pourrait-on	1.00	1930.00	2.00	1.172017
avion	cas	1.00	1930.00	6.00	0.073405
avion	asseoir	10.00	1930.00	15.00	1.459699
avion	décalage	1.00	1930.00	1.00	1.865164
avion	médecin	1.00	1930.00	2.00	1.172017
avion	hélicoptère	2.00	1930.00	3.00	1.459699
