target	id_target	context	id_context	f_tc	f_t	f_c	cond_prob	pmi	npmi	lmi	tscore	zscore	dice	chisquare	loglike	affinity	entropy_target	entropy_context
avion	0	transmetteur	2290	1.00	1930.00	1.00	0.000518	1.865164	0.197781	1.865164	0.845129	2.147525	0.001036	5.457433	3.730328	0.500259	6.005527	0.000000
avion	0	magie	2291	1.00	1930.00	2.00	0.000518	1.172017	0.124280	1.172017	0.690258	1.240258	0.001035	1.820415	2.344034	0.250259	6.005527	0.693147
avion	0	argent	248	1.00	1930.00	5.00	0.000518	0.255726	0.027117	0.255726	0.225646	0.256423	0.001034	0.077834	0.511452	0.100259	6.005527	0.950271
avion	0	espace	250	1.00	1930.00	10.00	0.000518	-0.437421	-0.046384	-0.437421	-0.548708	-0.440917	0.001031	0.230218	-0.874842	0.050259	6.005527	1.227529
avion	0	volant	1268	1.00	1930.00	11.00	0.000518	-0.532731	-0.056491	-0.532731	-0.703579	-0.539053	0.001030	0.344131	-1.065463	0.045714	6.005527	0.600166
avion	0	immeuble	2297	4.00	1930.00	5.00	0.002073	1.642020	0.204126	6.568082	1.612823	3.665616	0.004134	15.905415	13.136164	0.401036	6.005527	0.500402
avion	0	infirmier	255	1.00	1930.00	1.00	0.000518	1.865164	0.197781	1.865164	0.845129	2.147525	0.001036	5.457433	3.730328	0.500259	6.005527	0.000000
avion	0	pratique	256	2.00	1930.00	9.00	0.001036	0.361087	0.041327	0.722173	0.428622	0.513432	0.002063	0.312145	1.444346	0.111629	6.005527	1.149060
avion	0	traverser	257	3.00	1930.00	10.00	0.001554	0.661191	0.079357	1.983574	0.837904	1.166192	0.003093	1.610518	3.967147	0.150777	6.005527	1.279854
avion	0	trainer	258	1.00	1930.00	2.00	0.000518	1.172017	0.124280	1.172017	0.690258	1.240258	0.001035	1.820415	2.344034	0.250259	6.005527	0.693147
avion	0	site-web	2302	1.00	1930.00	1.00	0.000518	1.865164	0.197781	1.865164	0.845129	2.147525	0.001036	5.457433	3.730328	0.500259	6.005527	0.000000
avion	0	vivant	260	1.00	1930.00	6.00	0.000518	0.073405	0.007784	0.073405	0.070775	0.073421	0.001033	0.006382	0.146809	0.083592	6.005527	1.560710
avion	0	proposer	2299	1.00	1930.00	2.00	0.000518	1.172017	0.124280	1.172017	0.690258	1.240258	0.001035	1.820415	2.344034	0.250259	6.005527	0.693147
