avion	droit	2.00	1930.00	6.00	0.766552
avion	eau	2.00	1930.00	11.00	0.160416
avion	école	1.00	1930.00	6.00	0.073405
avion	économiser	1.00	1930.00	7.00	-0.080746
avion	écrire	2.00	1930.00	12.00	0.073405
avion	effet	1.00	1930.00	5.00	0.255726
avion	électricité	2.00	1930.00	10.00	0.255726
avion	élever	2.00	1930.00	11.00	0.160416
avion	embrasser	1.00	1930.00	3.00	0.766552
avion	émission	2.00	1930.00	6.00	0.766552
avion	empêcher	1.00	1930.00	4.00	0.478870
avion	endroit	5.00	1930.00	21.00	0.430079
avion	enfant	1.00	1930.00	17.00	-0.968049
avion	enlever	2.00	1930.00	5.00	0.948873
avion	énorme	1.00	1930.00	5.00	0.255726
avion	entendre	2.00	1930.00	23.00	-0.577183
avion	entier	3.00	1930.00	15.00	0.255726
avion	entrer	1.00	1930.00	4.00	0.478870
avion	ère	1.00	1930.00	4.00	0.478870
avion	espace	1.00	1930.00	10.00	-0.437421
avion	essayer	7.00	1930.00	23.00	0.675580
avion	est-ce	2.00	1930.00	8.00	0.478870
avion	étoile	1.00	1930.00	4.00	0.478870
avion	être	121.00	1930.00	822.00	-0.050786
avion	étudier	2.00	1930.00	7.00	0.612401
avion	éviter	2.00	1930.00	8.00	0.478870
avion	exemple	2.00	1930.00	24.00	-0.619743
avion	exposer	1.00	1930.00	3.00	0.766552
avion	fabriquer	4.00	1930.00	11.00	0.853563
avion	face	2.00	1930.00	7.00	0.612401
avion	facile	1.00	1930.00	4.00	0.478870
avion	façon	3.00	1930.00	12.00	0.478870
avion	faire	31.00	1930.00	191.00	0.046878
avion	fait	1.00	1930.00	12.00	-0.619743
avion	falloir	1.00	1930.00	7.00	-0.080746
avion	famille	2.00	1930.00	9.00	0.361087
avion	femme	1.00	1930.00	17.00	-0.968049
avion	fille	3.00	1930.00	9.00	0.766552
avion	film	2.00	1930.00	12.00	0.073405
avion	fils	1.00	1930.00	4.00	0.478870
avion	fin	1.00	1930.00	15.00	-0.842886
avion	finir	2.00	1930.00	10.00	0.255726
avion	fois	6.00	1930.00	32.00	0.191188
avion	foncer	1.00	1930.00	3.00	0.766552
avion	fonctionner	3.00	1930.00	9.00	0.766552
avion	fournir	1.00	1930.00	4.00	0.478870
avion	frère	2.00	1930.00	5.00	0.948873
avion	garde	1.00	1930.00	4.00	0.478870
avion	garer	1.00	1930.00	14.00	-0.773893
avion	géant	2.00	1930.00	5.00	0.948873
avion	général	3.00	1930.00	9.00	0.766552
avion	genre	1.00	1930.00	14.00	-0.773893
avion	gens	8.00	1930.00	39.00	0.281044
avion	glace	1.00	1930.00	3.00	0.766552
avion	GPS	1.00	1930.00	12.00	-0.619743
avion	grâce	1.00	1930.00	7.00	-0.080746
avion	grand	6.00	1930.00	38.00	0.019337
avion	gros	4.00	1930.00	19.00	0.307019
avion	groupe	1.00	1930.00	9.00	-0.332061
avion	habiter	1.00	1930.00	4.00	0.478870
avion	heure	4.00	1930.00	20.00	0.255726
avion	homme	2.00	1930.00	23.00	-0.577183
avion	hui	1.00	1930.00	14.00	-0.773893
avion	humain	3.00	1930.00	18.00	0.073405
avion	idée	2.00	1930.00	13.00	-0.006638
avion	identité	1.00	1930.00	3.00	0.766552
avion	image	1.00	1930.00	10.00	-0.437421
avion	imaginer	2.00	1930.00	5.00	0.948873
avion	immatriculation	2.00	1930.00	7.00	0.612401
avion	impact	1.00	1930.00	3.00	0.766552
avion	important	2.00	1930.00	19.00	-0.386128
avion	importer	5.00	1930.00	26.00	0.216505
avion	impression	1.00	1930.00	5.00	0.255726
avion	industrie	2.00	1930.00	7.00	0.612401
avion	insecte	1.00	1930.00	11.00	-0.532731
avion	installer	1.00	1930.00	5.00	0.255726
avion	instant	1.00	1930.00	3.00	0.766552
avion	intelligent	1.00	1930.00	4.00	0.478870
avion	intéresser	2.00	1930.00	5.00	0.948873
avion	Internet	1.00	1930.00	6.00	0.073405
avion	jeu	1.00	1930.00	8.00	-0.214278
